Modelo,Descripcion,Unidad,Stock_Disponible
NJC-207-PM,Conector Macho 07 pines,Pieza,0
NJC-207-RF,Conector Hembra 07 pines,Pieza,0
NJC-2410-PM,Conector Macho 10 pines,Pieza,0
NJC-2410-RF,Conector Hembra 10 pines,Pieza,0
NJC-244-PM,Conector Macho 04 pines,Pieza,0
NJC-244-RF,Conector Hembra 04 pines,Pieza,0
NUC6C04BUFE,"cable de cobre NK6™, categoría 6, 24 AWG, UTP, azul Rollo de 305 mts",Metro,0
NW080-30S-C6,Modelo de montaje en panel (STP/CAT5e/CAT6),Pieza,0
NW080-66S-SI-BK,Conector pasamuros serial,Pieza,0
OM2623M,OM2623M SCREW PRESENTER – MAX DIAM: 2.3MM,Pieza,0
PCRY-4M1N,4-Point Relay Terminal PCRY,Pieza,0
PR-FB15N3,SENSOR PRESENCIA. PR-FB15N3,Pieza,0
PZ-V11,"Tipo de cable reflectivo cuadrado, NPN",Pieza,0
S8VKC24024,Fuente de alimentacion FUENTE D 10 AMP 24,Pieza,0
SDG400,D-Sub Tools & Hardware,Pieza,0
SL199-50-43-SS,Caja de aluminio misumi,Pieza,0
SS30WS-13P-100,"Cable 26 hilos COMPATIBLE CON UL, BLINDAJE DE DOBLE CAPA MISUMI ROLLO DE 100 METROS",Metro,0
SS30WS-17P-100,"Cable 34 hilos COMPATIBLE CON UL, BLINDAJE DE DOBLE CAPA MISUMI ROLLO DE 100 METROS",Metro,0
SS30WS-5P-100,"Cable 10 hilos COMPATIBLE CON UL, BLINDAJE DE DOBLE CAPA MISUMI ROLLO DE 100 METROS",Metro,0
TDPTC6S,Conector Cat 6 grado industrial metalico,Pieza,0
U09A-BF-BM-0.5,Conector USB tipo B rapido para gabinete,Pieza,0
UL1007-22-BE-100,Cable Calibre 22 Azul,Metro,0
UL1007-22-BK-100,Cable Calibre 22 Negro,Metro,0
UL1007-22-R-100,Cable Calibre 22 Rojo,Metro,0
VT5-W07,"HMI 7""",Pieza,0
W4S1-05D,Switch,Pieza,0
